Key,SourceString,Comment
gameplay_tap_title,Gameplay,탭 이름
gamedifficulty_title,Difficulty,
gamedifficulty_description,Adjusts the overall difficulty of the game. \n\n <Bold>Easy:</> Focuses more on the story. Provides light combat gameplay.\n\n <Bold>Normal:</> Standard gameplay experience. \n\n <Bold>Hard:</> A challenging difficulty. \n\n <Bold>Hell:</> An extreme difficulty. Not recommended for beginners or first playthroughs.,
gamedifficulty_easy,Easy,게임플레이 옵션 - 난이도 설정
gamedifficulty_normal,Normal,게임플레이 옵션 - 난이도 설정
gamedifficulty_hard,Hard,게임플레이 옵션 - 난이도 설정
gamedifficulty_hell,Hell,게임플레이 옵션 - 난이도 설정
localization_category_title,Localization,게임플레이 - 현지화 헤더
language_title,Language,게임플레이 - 언어
language_kr,Korean,게임플레이 - 언어
language_en,English,게임플레이 - 언어
language_jp,Japanese,게임플레이 - 언어
audio_tab_title,Audio,탭 이름
volume_category_title,Volume,오디오 탭 - 볼륨 헤더
overallvolume_title,Master Volume,
overallvolume_description,Detailed description of the master volume.,
musicvolume_title,Music Volume,
musicvolume_description,Detailed description of the music volume.,
soundfxvolume_title,SFX Volume,
soundfxvolume_description,Detailed description of the sound effects volume.,
sound_category_title,Sound,
string_enabled,Enabled,
string_disabled,Disabled,
backgroundaudio_title,Background Audio,
hdraudio_title,HDR Audio,
video_tap_title,Video,
display_category_title,Display,
package_disabled_reason,\n\n<Disabled>This option can only be adjusted in a packaged build. </>,
windowmode_title,Window Mode,
windowmode_description,Detailed description of window mode.,
string_fullscreen,Fullscreen,
string_windowedfullscreen,Borderless Windowed,
string_windowed,Windowed,
screenresolution_title,Resolution,
screenresolution_description,Detailed description of resolution.,
windowmode_disabled_reason,\n\n<Disabled>Resolution cannot be adjusted when window mode is set to 'Borderless Windowed'. It is automatically fixed to the maximum resolution.</>,
graphics_category_title,Graphics,
displaygamma_title,Brightness,
displaygamma_description,Detailed description of brightness.,
overallquality_title,Overall Quality,
overallquality_description,Detailed description of overall quality.,
string_low,Low,
string_normal,Normal,
string_high,High,
string_veryhigh,Very High,
string_cinematic,Cinematic,
resolutionscale_title,Resolution Quality,
resolutionscale_description,Detailed description of resolution quality.,
globalilluminationquality_title,Lighting,
globalilluminationquality_description,Detailed description of lighting quality.,
shadowquality_title,Shadows,
shadowquality_description,Detailed description of shadow quality.,
antialiasingquality_title,Anti-Aliasing,
antialiasingquality_description,Detailed description of anti-aliasing.,
viewdistance_title,View Distance,
viewdistance_description,Detailed description of view distance quality.,
texturequality_title,Textures,
texturequality_description,Detailed description of texture quality.,
visualeffectquality_title,Visual Effects,
visualeffectquality_description,Detailed description of visual effects quality.,
reflectionquality_title,Reflections,
reflectionquality_description,Detailed description of reflection quality.,
postprocessingquality_title,Post Processing,
postprocessingquality_description,Detailed description of post processing.,
advancedgraphics_category_title,Advanced Graphics,
verticalsync_title,V-Sync,
verticalsync_description,Detailed description of V-Sync.,
fullscreenonly_disabled_reason,\n\n<Disabled>This option can only be adjusted when window mode is set to 'Fullscreen'.</>,
frameratelimit_title,Frame Limit,
frameratelimit_description,Detailed description of frame limit.,
string_nolimit,Unlimited,
control_tab_title,Controls,
string_cancel,Cancel,
string_yes,Yes,
string_confirm,Confirm,
string_no,No,
confirm_reset_options,Are you sure you want to initialize all the settings on the {0} tab?,
string_near,Close,
string_medium,Medium,
string_far,Far,
string_veryfar,Very Far,
mainmenu_story,Story,
mainmenu_option,Option,
mainmenu_credit,Credit,
mainmenu_exit,Exit,
mainmenu_newstory,New Story,
mainmenu_continue,Continue,
mainmenu_newgame,New Game,
mainmenu_newstory_description,It starts with a whole new story,
mainmenu_story_description,get ready to go on a journey,
mainmenu_option_description,You can customize all options in-game,
mainmenu_credit_description,You can see the credits for the project,
mainmenu_exit_description,End the game,
confirm_restart_language,You will need to restart to change the language. Do you want to restart?,
string_pressanykey,Press Any Key,
input_interact,Interact,
input_roll,Roll,
keyboard_mouse_category_title,Keyboard & Mouse,
banned_word_included,It contains inappropriate words.,
start_newgame,Starts your new journey,
input_nickname,What’s your name?,
minimum_two_characters_nickname,You must enter at least 2 characters.,
auto_attack_correction,Attack Correction,
input_equipweapon,Equip Weapon,
